,center_index,t_mean,t_std,t_count,t_sem,t_sem_check,x,y
6679,420500_-900500,1567.9492592592592,28.213557832787668,27,5.429701736519012,5.429701736519012,420500,-900500
6680,420500_-901000,1569.601111111111,9.762572520715128,18,2.301060410407705,2.301060410407705,420500,-901000
6681,420500_-901500,1541.9922222222222,9.891181786024488,18,2.3313739049489275,2.3313739049489275,420500,-901500
6682,420500_-902000,1495.7225,14.862528048753965,16,3.7156320121884914,3.7156320121884914,420500,-902000
6683,420500_-906000,2243.465,0.7707463914934397,2,0.5450000000000728,0.5450000000000728,420500,-906000
6684,420500_-906500,2255.5654999999997,6.71018195298026,20,1.5004422988256159,1.5004422988256159,420500,-906500
6685,420500_-907000,2275.4533333333334,3.990769653117167,12,1.152035966750493,1.152035966750493,420500,-907000
6686,420500_-908500,2248.6403333333337,49.33991714649502,30,9.008195202190416,9.008195202190416,420500,-908500
6687,420500_-911500,2487.2237037037034,7.0789048197648,27,1.362335867752982,1.362335867752982,420500,-911500
6688,420500_-912000,2485.484411764706,8.738319716151153,34,1.4986094678428121,1.4986094678428121,420500,-912000
6689,420500_-912500,2438.572,0.7309377538478511,5,0.3268853009849607,0.3268853009849607,420500,-912500
6690,420500_-913000,2436.594285714286,0.11129112402016274,21,0.02428571428567209,0.02428571428567209,420500,-913000
6691,420500_-913500,2436.57,0.0,3,0.0,0.0,420500,-913500
6692,420500_-916000,2979.805,2.595081886954681,2,1.8350000000000362,1.8350000000000362,420500,-916000
6693,420500_-916500,3082.0393055555555,44.20824135538881,72,5.209991207787833,5.209991207787833,420500,-916500
6694,420500_-917000,3174.940909090909,71.11822304508804,11,21.44295105430579,21.44295105430579,420500,-917000
6695,420500_-917500,3373.7180555555556,47.72536156082089,36,7.954226926803482,7.954226926803482,420500,-917500
6696,420500_-918000,3459.1980000000003,8.764132460076928,10,2.7714620289257805,2.7714620289257805,420500,-918000
6697,420500_-923500,2576.633076923077,4.378114861854221,13,1.2142705864835641,1.2142705864835641,420500,-923500
6698,420500_-924000,2566.766666666667,2.7838652773353467,18,0.6561633385045309,0.6561633385045309,420500,-924000
6699,420500_-925000,2543.3509999999997,18.237892452559144,10,5.7673279871281276,5.7673279871281276,420500,-925000
6700,420500_-925500,2500.934117647059,44.45717865594185,34,7.62434323892177,7.62434323892177,420500,-925500
6701,420500_-926000,2506.113157894737,59.22909251866716,19,13.588085726657425,13.588085726657425,420500,-926000
6702,420500_-927000,2457.9828571428575,0.43060865008038784,7,0.16275477150084852,0.16275477150084852,420500,-927000
6703,420500_-927500,2456.931,0.7364202175672799,20,0.16466856664856228,0.16466856664856228,420500,-927500
6704,420500_-928000,2453.416,0.501228490810502,5,0.22415619554238222,0.22415619554238222,420500,-928000
6705,420500_-928500,2522.367222222222,4.246373962578621,18,1.0008799414644447,1.0008799414644447,420500,-928500
6706,420500_-929500,2399.036875,18.908603233713453,16,4.727150808428363,4.727150808428363,420500,-929500
6707,420500_-930000,2408.421333333333,8.614233127850202,15,2.224185429634137,2.224185429634137,420500,-930000
6708,420500_-933000,1468.8505263157895,4.046225228097399,19,0.928267730109546,0.928267730109546,420500,-933000
6709,420500_-933500,1551.5427272727275,126.22461123654995,11,38.05815225273766,38.05815225273766,420500,-933500
6710,420500_-934000,1704.3304761904762,5.2748085047614754,21,1.1510575833079189,1.1510575833079189,420500,-934000
6711,420500_-934500,1701.34,2.2250543064533153,7,0.8409914783555389,0.8409914783555389,420500,-934500
6712,420500_-938000,994.364347826087,43.96928450904283,23,9.16822959591188,9.16822959591188,420500,-938000
6713,420500_-938500,1099.7366666666667,13.783382506965884,3,7.957839600740332,7.957839600740332,420500,-938500
6714,420500_-939500,753.9008571428571,37.34136614686572,35,6.31184289527979,6.31184289527979,420500,-939500
6715,420500_-940000,724.6227777777777,5.50489173431555,18,1.2975154250107668,1.2975154250107668,420500,-940000
6716,420500_-941000,503.0066666666667,19.3244033466983,18,4.554805549611461,4.554805549611461,420500,-941000
6717,420500_-942000,405.387,9.311372277178622,20,2.082086137557841,2.082086137557841,420500,-942000
6718,420500_-985000,207.65473684210528,25.440491850680708,38,4.126992742283008,4.126992742283008,420500,-985000
6719,420500_-985500,239.41444444444446,8.883187928766203,9,2.9610626429220677,2.9610626429220677,420500,-985500
6720,421000_-803500,1510.035294117647,36.645873594043096,17,8.887929857133692,8.887929857133692,421000,-803500
6721,421000_-815500,1567.4264705882354,16.34751431455864,17,3.9648546020718802,3.9648546020718802,421000,-815500
6722,421000_-837000,1596.7399999999998,6.013654255109629,17,1.4585253935154172,1.4585253935154172,421000,-837000
6723,421000_-841000,1385.83,62.61957281872812,17,15.187477233098392,15.187477233098392,421000,-841000
6724,421000_-850500,1315.596,33.23671549419561,20,7.431955519384189,7.431955519384189,421000,-850500
6725,421000_-851000,1251.793846153846,4.095846551612863,13,1.1359834429440416,1.1359834429440416,421000,-851000
6726,421000_-855000,955.5145454545454,20.75595450160574,11,6.2581557497740326,6.2581557497740326,421000,-855000
6727,421000_-855500,906.7523529411765,6.915930459283647,17,1.6773595166501727,1.6773595166501727,421000,-855500
6728,421000_-856000,904.5994117647059,1.9314452832925024,17,0.4684442890068243,0.4684442890068243,421000,-856000
6729,421000_-856500,896.156111111111,1.665035378139895,18,0.39245260226607576,0.39245260226607576,421000,-856500
6730,421000_-857000,905.0535294117647,4.610426961215882,17,1.1181927847228552,1.1181927847228552,421000,-857000
6731,421000_-857500,913.662,0.717430600592605,10,0.2268714760975178,0.2268714760975178,421000,-857500
6732,421000_-881000,1729.4236363636364,28.939223304272296,11,8.725504129507291,8.725504129507291,421000,-881000
6733,421000_-881500,1759.585625,24.2816059240323,16,6.070401481008075,6.070401481008075,421000,-881500
6734,421000_-882000,1742.44,0.6788225099391113,2,0.48000000000001813,0.48000000000001813,421000,-882000
6735,421000_-884500,1584.8247058823529,7.545507038668033,17,1.8300542658394012,1.8300542658394012,421000,-884500
6736,421000_-889000,1409.77,7.303716651341088,14,1.9520003828138728,1.9520003828138728,421000,-889000
6737,421000_-889500,1391.4352631578947,16.339896085763886,19,3.7486292518842412,3.7486292518842412,421000,-889500
6738,421000_-891000,1369.37,,1,,,421000,-891000
6739,421000_-891500,1392.2920000000001,21.715249155428992,35,3.670547043240128,3.670547043240128,421000,-891500
6740,421000_-892000,1396.0033333333333,6.144797895494191,18,1.4483427536415898,1.4483427536415898,421000,-892000
6741,421000_-892500,1418.886,10.614393058484199,15,2.740624503040594,2.740624503040594,421000,-892500
6742,421000_-897000,1594.0929411764707,25.593848812924453,17,6.207420118928041,6.207420118928041,421000,-897000
6743,421000_-899000,1636.7927272727275,6.881996935351071,11,2.07500014935775,2.07500014935775,421000,-899000
6744,421000_-899500,1649.4529411764706,1.3024292912950406,17,0.31588550222987083,0.31588550222987083,421000,-899500
6745,421000_-900000,1640.3477777777778,6.039727843065439,18,1.4235775047842574,1.4235775047842574,421000,-900000
6746,421000_-900500,1623.0157692307694,16.451239265921995,26,3.2263534630661574,3.2263534630661574,421000,-900500
6747,421000_-905500,2225.1426666666666,2.764541983937116,15,0.7138016709119775,0.7138016709119775,421000,-905500
