lon,lat,x,y,s,t,b,b_inferred,source,VX,VY,ERRX,ERRY,xflux,yflux,xflux_err,yflux_err,source_age
148.590942,-81.995295,453964.3221755548,-743448.6293723178,2175.53,1517.95,657.58,False,NASA_2011_ICEBRIDGE_AIR_BM2.csv,-3.748651442331364,-4.122534769894995,0.18559232129730768,0.23423840681723632,-5690.265456886895,-6257.801653962108,281.7198641132482,355.5621896282239,6
148.524612,-81.985557,455379.7357142912,-743829.211769891,2168.95,1286.56,882.39,False,NASA_2011_ICEBRIDGE_AIR_BM2.csv,-4.949281163113858,-9.945290712848392,0.16808751572743622,0.20969358072639013,-6367.547173215764,-12795.213219522226,216.25467423429032,269.78337321934447,6
148.457752,-81.975901,456798.8457349991,-744195.6679828494,2165.76,1550.7,615.05,False,NASA_2011_ICEBRIDGE_AIR_BM2.csv,-8.102316165885147,-22.575426123186535,0.16761414633768384,0.21266778447712498,-12564.261678438099,-35007.71328922536,259.91925672584637,329.7839333886777,6
148.389101,-81.966503,458227.9478660328,-744521.5242032269,2164.74,2257.06,-92.33,False,NASA_2011_ICEBRIDGE_AIR_BM2.csv,-9.79276296933095,-28.319459460918623,0.17686890108982153,0.22665577465208075,-22102.85358755811,-63918.71917086098,399.2037218937926,511.57568273622536,6
148.320237,-81.957147,459658.8529199851,-744839.4218982332,2163.13,2133.03,30.1,False,NASA_2011_ICEBRIDGE_AIR_BM2.csv,-10.24492307383481,-29.453591495138767,0.18051513548329662,0.23151865160353646,-21852.728264181867,-62825.39426687585,385.0441994399362,493.83622942989143,6
148.341375,-81.96003,459218.8413306888,-744741.0567217879,2163.64,2172.41,-8.77,False,NASA_2011_ICEBRIDGE_AIR_BM2.csv,-10.13105659160623,-29.118381782021583,0.1805111692959547,0.2316087663159269,-22008.80865017129,-63257.063767081505,392.14426929022494,503.1492000323827,6
148.273036,-81.95061,460647.5846366866,-745067.4864337033,2160.0,2021.71,138.29,False,NASA_2011_ICEBRIDGE_AIR_BM2.csv,-10.459969596174755,-30.255888637350033,0.18121637729140305,0.23259316736718808,-21147.025132282462,-61168.632617016934,366.3669621338025,470.2359323979178,6
148.205008,-81.941155,462075.7323934461,-745397.3315641772,2158.17,1836.82,321.36,False,NASA_2011_ICEBRIDGE_AIR_BM2.csv,-10.98413450496334,-31.041606103556894,0.17734709003938623,0.22628666737877887,-20175.87794140676,-57017.84292313537,325.7546819261454,415.64787637468856,6
148.136089,-81.931837,463509.0191712313,-745704.9336808095,2159.15,1799.87,359.29,False,NASA_2011_ICEBRIDGE_AIR_BM2.csv,-11.102483802437755,-31.617604713305788,0.16598132555546924,0.20582901871170742,-19983.02752149364,-56907.578195337686,298.7448084275224,370.4654759086408,6
148.066967,-81.92256,464943.995282351,-746004.7284629336,2157.04,1743.3,413.75,False,NASA_2011_ICEBRIDGE_AIR_BM2.csv,-11.099119810804892,-31.831071942156264,0.15205056737708852,0.181763709989355,-19349.095566176165,-55491.10771676101,265.06975410847843,316.8686756244426,6
147.998089,-81.913262,466378.41122311744,-746306.0847566908,2162.79,1734.86,427.93,False,NASA_2011_ICEBRIDGE_AIR_BM2.csv,-10.606088060592443,-32.648478824337325,0.14376255798557122,0.16737358246294867,-18400.077932799406,-56640.53997318985,249.40791134684807,290.3697332716711,6
